Температура: 62, Влажность: 45, Дата: Thu Apr 14 2022 16:02:25 GMT+0300 (Москва, стандартное время)
Температура: 54, Влажность: 34, Дата: Thu Apr 14 2022 16:02:28 GMT+0300 (Москва, стандартное время)
Температура: 78, Влажность: 10, Дата: Thu Apr 14 2022 16:02:32 GMT+0300 (Москва, стандартное время)
Температура: 57, Влажность: 64, Дата: Thu Apr 14 2022 16:02:35 GMT+0300 (Москва, стандартное время)
Температура: 46, Влажность: 19, Дата: Thu Apr 14 2022 16:02:38 GMT+0300 (Москва, стандартное время)
Температура: 4, Влажность: 82, Дата: Thu Apr 14 2022 16:02:41 GMT+0300 (Москва, стандартное время)
Температура: 93, Влажность: 25, Дата: Thu Apr 14 2022 16:02:44 GMT+0300 (Москва, стандартное время)
Температура: 36, Влажность: 80, Дата: Thu Apr 14 2022 16:02:47 GMT+0300 (Москва, стандартное время)
Температура: 33, Влажность: 65, Дата: Thu Apr 14 2022 16:02:50 GMT+0300 (Москва, стандартное время)
Температура: 26, Влажность: 61, Дата: Thu Apr 14 2022 16:02:54 GMT+0300 (Москва, стандартное время)
Температура: 64, Влажность: 33, Дата: Thu Apr 14 2022 16:02:57 GMT+0300 (Москва, стандартное время)
Температура: 94, Влажность: 64, Дата: Thu Apr 14 2022 16:03:00 GMT+0300 (Москва, стандартное время)
Температура: 12, Влажность: 83, Дата: Thu Apr 14 2022 16:03:03 GMT+0300 (Москва, стандартное время)
Температура: 18, Влажность: 67, Дата: Thu Apr 14 2022 16:03:06 GMT+0300 (Москва, стандартное время)
